
---------- Begin Simulation Statistics ----------
system.cpu.iq.fu_full::MemWrite               4578148     24.66%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemRead                 0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemWrite                0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IprAccess                    0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::InstPrefetch                 0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.int_alu_accesses             1413352718                       # Number of integer alu accesses
system.cpu.iq.int_inst_queue_reads         3726140225                       # Number of integer instruction queue reads
system.cpu.iq.int_inst_queue_wakeup_accesses   1334550968                       # Number of integer instruction queue wakeup accesses
system.cpu.iq.int_inst_queue_writes        1561579466                       # Number of integer instruction queue writes
system.cpu.iq.iqInstsAdded                 1398755018                       # Number of instructions added to the IQ (excludes non-spec)
system.cpu.iq.iqInstsIssued                1401385305                       # Number of instructions issued
system.cpu.iq.iqNonSpecInstsAdded               16912                       # Number of non-speculative instructions added to the IQ
system.cpu.iq.iqSquashedInstsExamined       170705142                       # Number of squashed instructions iterated over during squash; mainly for profiling
system.cpu.iq.iqSquashedInstsIssued            820495                       # Number of squashed instructions issued
system.cpu.iq.iqSquashedNonSpecRemoved           8938                       # Number of squashed non-spec instructions that were removed
system.cpu.iq.iqSquashedOperandsExamined     92191158                       # Number of squashed operands that are examined and possibly removed from graph
system.cpu.iq.issued_per_cycle::samples     916613048                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::mean         1.528873                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::stdev        2.049116                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::underflows            0      0.00%      0.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::0           459066020     50.08%     50.08% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::1           120922190     13.19%     63.28% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::2           104168794     11.36%     74.64% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::3            64367328      7.02%     81.66% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::4            63575207      6.94%     88.60% # Number of insts issued each cycle
